用户ID,性别,年龄,归属地,客户类型,在网时长,换机频率,终端品牌,终端类型,最近使用操作系统偏好,入网渠道类型,渠道类型描述,上网流量使用,漫游流量使用,总收入,增值收入,流量收入,短信收入,彩信收入,语音收入,是否欠费,产品大类,产品分类
79CF9CE728B8A423B1FE712669470FB1,男,24,天津,公众客户,45,频繁换机型,努比亚,4G,ANDROID 5.1.1,2,社会渠道,223.287941,217.9451,72.22,27.42,24.6,2.32,1.1,36.8,否,国内流量套餐,10元100MB国内流量套餐
7A47F3E23059A7EECECDC5A9C1E13916,男,26,邯郸,公众客户,7,频繁换机型,嘉源,2G,,2,社会渠道,0.054554,0,37,2.7,0.3,2.4,2.4,24.3,否,4G本地语音套餐,4G本地语音套餐-10元套餐
7B1970FC64D11EBA175E16E037CED594,男,23,北京,公众客户,6,频繁换机型,小米,0,ANDROID 4.1.1,1,自有渠道,7.492571,7.492571,12.65,2.5,2.4,0.1,0.1,0.15,是,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
7B61C3AE0B5EB0E40710AA4390DC03C3,男,19,保定,公众客户,18,频繁换机型,苹果,3G,IOS,2,社会渠道,1428.758272,4.163957,201.8,5.7,3.8,1.6,1.9,0.1,否,国内流量套餐,60元1GB国内流量套餐
7DE6E85FF3BA04BC7CF29AA0CD089991,男,72,邢台,公众客户,126,频繁换机型,酷乐,2G,,2,社会渠道,0.013174,0,17.75,0.4,0.3,0.1,0.1,7.35,否,4G本地语音套餐,4G本地语音套餐-10元套餐
806658C0D8CEFAECA3FAB3295BFBBB80,男,37,石家庄,公众客户,144,频繁换机型,华为,4G,ANDROID 4.4.2,2,社会渠道,633.779089,3.212986,96.8,21.62,12,7.4,7.4,1.4,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
8156E45E207ECCDC734CC863FB933AE1,男,25,天津,公众客户,15,频繁换机型,三星,4G,ANDROID 4.4.4,2,社会渠道,2055.160214,0,101.15,54.1,54,0.1,0,5.55,否,本地套餐,4G本地套餐-40元套餐（京津）
820DC15BD2D8C35BB68BA2DD6F9FD8A0,男,20,沧州,公众客户,17,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,827.908875,0,91.05,24.3,24,0.3,0.3,30.75,否,本地套餐,4G本地套餐-36元套餐
8269F5A1CA45A340E0E070342E189EA5,女,24,北京,公众客户,25,频繁换机型,苹果,3G,IOS 6.0,1,自有渠道,1295.845077,1263.923919,188.6,27.6,17.6,10,0,107,否,国内流量套餐,60元1GB国内流量套餐
826B6D02F0C1446CA020383E16888F05,男,24,石家庄,公众客户,13,频繁换机型,苹果,3G,IOS,1,自有渠道,2592.063414,860.928873,179.55,4.9,3,1.7,1.9,116.65,否,省内流量套餐,60元1.5GB省内流量套餐
837D365A3FBAEA79678DEC368C63C73A,男,43,天津,公众客户,84,频繁换机型,,0,,1,自有渠道,794.941851,598.152931,144.05,52.5,52.5,3,0,23.85,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
843BC1264C9D32B81F32F804F5C419D8,女,32,北京,公众客户,61,频繁换机型,苹果,4G,IOS 9.0,1,自有渠道,2588.964573,477.15458,258.5,0.76,115,0.76,0,16.74,否,基本套餐,166元基本套餐（含国内语音500分钟，国内流量2GB）
8458D19FC4D3C77FC536803EA21ECC0A,女,61,秦皇岛,公众客户,6,频繁换机型,赛纳普,2G,,2,社会渠道,0.037899,0,28.15,0.6,0.3,0.3,0.3,17.55,否,4G本地语音套餐,4G本地语音套餐-10元套餐
8461475F0E2962DF863E1C11CF131909,男,37,天津,公众客户,60,频繁换机型,苹果,3G,IOS 7.0,2,社会渠道,1051.655813,20.095008,254.19,62.75,60,5,0,111.94,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
85DBEBD3A8A36BBB5A7F0A3E4051842D,无法区分,,保定,集团-大客户,7,频繁换机型,小米,2G,ANDROID 4.4.4,2,社会渠道,145.695492,19.181142,72.25,50.7,43.8,6,6.6,11.55,否,4G本地语音套餐,4G本地语音套餐-10元套餐
87449080D3C3CD732282FA13DFC336BE,男,31,北京,公众客户,1,频繁换机型,乐视,4G,ANDROID,2,社会渠道,230.35005,35.060398,37.6,10,9.9,0.1,0.1,9.6,否,校园专属-非小区基本套餐,校园专属-沃派16元套餐(北京)
8792F7EA4236A7ECE69DF181BD793B4D,女,31,秦皇岛,公众客户,86,频繁换机型,维沃,3G,ANDROID,1,自有渠道,1.329509,0,78.6,1.1,0.6,0.5,0.5,67.5,否,4G本地语音套餐,4G本地语音套餐-10元套餐
891990514B4ED7743488B82AFEB93738,男,23,天津,公众客户,45,频繁换机型,魅族,4G,ANDROID 5.1,2,社会渠道,2035.22802,30.79023,294.7,238.5,243.6,3,0,6.2,否,校园专属-小区基本套餐,校园专属-沃派50元套餐（校园）
893E43A88C874A305343F3E78E676EC9,男,17,张家口,公众客户,2,频繁换机型,苹果,3G,IOS 6.0,1,自有渠道,151.440956,0,26.3,0.7,0.6,0.1,0.1,9.6,否,本地套餐,4G本地套餐-16元套餐
8A56C10591902D3AB3E5663330173D31,男,40,北京,公众客户,13,频繁换机型,三星,3G,ANDROID,1,自有渠道,27.031458,27.031458,87.5,60.1,8.1,52,52,11.4,否,校园专属-非小区基本套餐,校园专属-沃派16元套餐(北京)
8C82B31D47E7CC3E30BEFCCB48887F72,男,35,天津,公众客户,1,频繁换机型,维沃,2G,ANDROID,1,自有渠道,0.038,0,0.6,0.4,0.3,0.1,0,0.2,是,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
8CDF7B46D6B0DB8873FAC1E0D364E677,男,25,天津,公众客户,62,频繁换机型,苹果,4G,IOS,2,社会渠道,3937.224668,1815.6997,166.58,0,5,0.76,0,5.58,否,基本套餐,196元基本套餐（含国内语音500分钟，国内流量3GB）
7CBB7F2FEE3678D7DBAB93DA988BE980,男,43,天津,公众客户,62,频繁换机型,维沃,3G,ANDROID,2,社会渠道,939.003101,0,154.08,115.03,146.7,10,0,22.05,否,本地套餐,4G本地套餐-26元套餐
7D90BD419A80D0E0AF43124AA84E4826,男,20,北京,公众客户,1,频繁换机型,华为,2G,ANDROID 5.1.1,1,自有渠道,2.072184,0,6.3,0.7,0.6,0.1,0.1,5.6,否,国内流量套餐,30元500MB国内流量套餐
7E282FF5DA6F6CA156E1A85DE24D30C6,男,17,天津,公众客户,3,频繁换机型,卡美欧,4G,ANDROID 5.1,2,社会渠道,502.239039,381.578301,205.3,119.6,114.6,0.1,0,45.7,否,本地套餐,4G本地套餐-40元套餐（京津）
7EB2FA4C1F41A8E161AB1D1DA3BC0293,男,26,北京,公众客户,35,频繁换机型,苹果,3G,IOS,1,自有渠道,603.570225,44.443409,49.86,0.26,5,0.26,0,6.6,是,国内流量套餐,20元300MB国内流量套餐
7F77A49C64F65AC64A0F71A9311511E2,女,39,沧州,公众客户,15,频繁换机型,三星,3G,ANDROID 4.2.2,2,社会渠道,1279.430177,0,168.7,131.8,101.4,1,0,21.3,否,本地套餐,4G本地套餐-16元套餐
8051AFEA4D6BD0A2675B139D3C78E9E4,女,25,石家庄,公众客户,9,频繁换机型,,0,,2,社会渠道,1869.898858,0,90.4,36.8,15.6,1.2,1.2,27.6,否,校园专属-非小区B套餐,校园专属-沃派26元B套餐
807EB67D846699D24FC9A1CE283975FC,男,27,北京,公众客户,43,频繁换机型,LG,3G,ANDROID 4.2.2,99,其他渠道,1077.284419,1077.284419,77.6,11.8,10.8,0.2,0.2,11.8,否,国内流量套餐,60元1GB国内流量套餐
80D797D37570E4836F7B458C00F1E3A7,男,22,沧州,公众客户,92,频繁换机型,联想,2G,ANDROID,2,社会渠道,0.007498,0,14.45,0.4,0.3,0.1,0.1,4.05,否,4G本地语音套餐,4G本地语音套餐-10元套餐
81A9583BDA6BA0941B22BFD7B1BA475E,男,48,天津,公众客户,57,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,10.25908,10.25908,272.6,72.88,60,12.88,0,3.72,否,基本套餐,196元基本套餐（含国内语音500分钟，国内流量3GB）
8218E9CDDCF91804FDA2B17A28BE6CE4,男,37,天津,公众客户,62,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,1134.35974,0,125.95,15.9,12.9,3,0,4.05,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
82348D6F62390E65C07F460283022CB6,女,30,北京,公众客户,8,频繁换机型,三星,4G,ANDROID 5.0,1,自有渠道,882.312023,0,143.15,67.6,54,4.6,4.6,65.55,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
83D937F4CFDA1E30903D8621642CFCBF,男,26,唐山,公众客户,2,频繁换机型,酷派,2G,ANDROID,1,自有渠道,56.239541,56.239541,18.53,5.01,5.7,0.2,0.17,13.52,否,4G本地行业套餐,集团客户4G企业套餐（河北试点）
83DDD7655396DD0FF02C6D96A0889128,女,21,承德,公众客户,34,频繁换机型,魅族,4G,,1,自有渠道,484.204382,0,39.8,13.6,10.2,3.4,3.4,0.2,否,本地套餐,4G本地套餐-26元套餐
D385B41DF27252299098E9E62E65BEB7,女,48,天津,公众客户,172,频繁换机型,华为,3G,ANDROID 4.2.2,1,自有渠道,446.144872,174.812587,97.6,52.5,52.5,6.6,0,19.1,否,本地套餐,4G本地套餐-26元套餐
D4538BFC575A61AE3F9EFD7931F7CAB6,男,23,保定,公众客户,50,频繁换机型,华为,4G,ANDROID,1,自有渠道,645.171961,627.912747,59.8,10.8,9,1.8,1.8,35,否,国内流量套餐,10元100MB国内流量套餐
D4FCEA42FD11DA889E1873C781CBFAB0,女,21,天津,公众客户,21,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,2318.636048,137.661204,126.54,41.4,41.4,0.2,0,17.2,否,本地套餐,4G本地套餐-40元套餐（京津）
D6E046FB325BE0D2257F0F12BE3A3EB3,女,53,石家庄,公众客户,7,频繁换机型,比美,2G,,2,社会渠道,0.031045,0.031045,15.3,0.5,0.3,0.2,0.2,4.8,否,4G本地语音套餐,4G本地语音套餐-10元套餐
D7306787E62A7C257875A2C440B6855F,男,16,保定,公众客户,4,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,5755.650196,0,263.4,190.6,190.5,0.1,0.1,16.8,是,本地套餐,4G本地套餐-36元套餐
D750B5CCBB8FA7D6F981E371B1A309CC,男,23,天津,公众客户,58,频繁换机型,苹果,3G,IOS,2,社会渠道,894.207784,0.848151,50.6,13.2,10.2,3,0,11.4,否,本地套餐,4G本地套餐-26元套餐
D80578A41BFFAA679ED43E4F39562AFA,男,30,天津,公众客户,1,频繁换机型,微软,4G,WINDOWS PHONE 8.1,2,社会渠道,308.057043,0,72.1,60.4,60,0.4,0.4,11.7,否,基本套餐,4G全国套餐-106元套餐（新）
D878B10D5933D10915977EF18F51DE7D,男,39,北京,公众客户,1,频繁换机型,乐视,4G,ANDROID,1,自有渠道,39.09117,39.09117,16.8,12.2,12,0.2,0.2,0.6,是,省内流量套餐,10元150MB省内流量套餐
A7036D760E784E03E3A4A88584DC10ED,男,26,北京,公众客户,33,频繁换机型,LG,3G,ANDROID,99,其他渠道,569.750755,28.962308,64.4,17.6,17.4,0.2,0.2,16.8,否,国内流量套餐,30元500MB国内流量套餐
A710574903AA948019EFCD0DC12138AB,男,34,天津,公众客户,42,频繁换机型,兴华宝,2G,ANDROID,1,自有渠道,222.457985,197.627365,82.64,47.52,59.4,5,0,14.32,否,本地套餐,4G本地套餐-26元套餐
A7E5E670C09FA05855760AA91C5F0C2B,男,37,唐山,公众客户,6,频繁换机型,,0,,1,自有渠道,0.412883,0,56.25,0.5,0.3,0.2,0.2,45.75,否,4G本地语音套餐,4G本地语音套餐-10元套餐
3C67C5DD44D51A745D016B36E16BC4C4,女,20,沧州,公众客户,9,频繁换机型,苹果,4G,IOS 9.0,1,自有渠道,3367.847312,330.396529,84.49,13.8,8.7,0.1,0.1,28.2,否,校园专属-非小区B套餐,校园专属-沃派26元B套餐
3CFE3B8F0E341DE62D787BCC6369E6B8,女,25,天津,公众客户,3,频繁换机型,苹果,4G,IOS 7.0,2,社会渠道,1870.961035,0,206,73.8,73.8,6.7,0,47.6,是,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
3DAED3BE7A1F3AC96C96D2D3E05C84CE,男,26,北京,公众客户,1,频繁换机型,酷派,4G,ANDROID,2,社会渠道,3.041542,3.041542,4.15,1,0.9,0.1,0.1,3.15,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
3DC5188905D8E231F9E27B4F3822EEC2,男,28,天津,公众客户,14,频繁换机型,,0,,1,自有渠道,525.484436,47.317439,66.01,7.6,5.7,0.1,0,27,否,省内流量套餐,10元150MB省内流量套餐
3E844A2B91C7E97A2DE5176DE44485B2,男,43,天津,公众客户,114,频繁换机型,维沃,2G,ANDROID,1,自有渠道,499.708459,56.973093,91.93,23.89,20.1,8,0,3.44,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
3E8FDAC99B5DA45443207B3ADF0288F3,男,24,天津,公众客户,14,频繁换机型,维沃,4G,ANDROID,2,社会渠道,482.019104,0,91.71,21.24,24.9,0.1,0,5.87,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
4051C22C49B99F8217283F8C2B051CAC,女,20,天津,公众客户,2,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,963.243984,29.008153,94.75,19.55,9.3,22.2,19.55,31.65,否,本地套餐,4G本地套餐-40元套餐（京津）
40A36A68D4117BB7B1168E04670B35E4,男,19,天津,公众客户,9,频繁换机型,苹果,4G,IOS 6.0,2,社会渠道,6922.376344,0.079188,153.05,15,4.2,0.2,0,3.15,否,本地套餐,4G本地套餐-40元套餐（京津）
425D1469B31C2C9AA28AD2DA12438C7E,无法区分,26,北京,公众客户,23,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,805.478012,616.468144,322.48,0.52,15,0.52,0,200.96,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
43CF5F981B121CCFF6E343A5FAF0B9F3,男,46,天津,公众客户,152,频繁换机型,金立,2G,ANDROID,1,自有渠道,2.464778,0,89.5,0,0.3,3,0,43.5,否,4G本地语音套餐,4G本地语音套餐-46元套餐
451BB865C7783D492D10163991234996,男,34,石家庄,公众客户,5,频繁换机型,联想,2G,ANDROID,2,社会渠道,1.620775,0,42.35,1.3,0.6,0.7,0.7,31.05,是,4G本地语音套餐,4G本地语音套餐-10元套餐
45703B9F99532EDCBD564BA7D51CDBDD,男,53,北京,公众客户,57,频繁换机型,苹果,3G,IOS,1,自有渠道,565.796464,24.639486,187.09,33.86,33.3,0.26,0.3,100.8,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
480F9508A04414C36E1B01B6B887DE15,男,26,北京,公众客户,1,频繁换机型,苹果,4G,IOS,1,自有渠道,792.865449,0,158.4,21.1,15.9,5.2,5.2,93.3,否,省内流量套餐,30元750MB省内流量套餐
5C6044F9290432DF67DD38F25BD099C5,女,54,石家庄,公众客户,5,频繁换机型,,0,,2,社会渠道,40.136331,0,42.7,12.3,12.3,5.2,0,10.4,否,4G本地语音套餐,4G本地语音套餐-20元套餐
5CB28266DFCE3AD2913818FA0E755400,女,20,北京,公众客户,20,频繁换机型,苹果,4G,IOS 9.0,2,社会渠道,2156.158989,0,215,40.3,29.4,10.9,10.9,8.7,否,基本套餐,166元基本套餐（含国内语音500分钟，国内流量2GB）
5DBDFF7146D4D7F1F9B23EEAC2A1E902,女,75,邢台,公众客户,1,频繁换机型,世纪星,2G,,1,自有渠道,0.208263,0,5.78,0.18,0.1,0.1,0.09,1.8,否,4G本地行业套餐,集团客户4G企业套餐（河北试点）
5E3870E246723D56400A60DCF5EA9D70,女,32,天津,公众客户,158,频繁换机型,苹果,4G,IOS 9.0,1,自有渠道,2532.674754,0,250.4,0,13.5,0.5,0,106.8,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
5E475C279AC7F1D44A12DA537EF05F27,女,36,北京,公众客户,59,频繁换机型,华为,4G,ANDROID 4.4,1,自有渠道,271.464912,0.013155,126.26,8.48,5,8.48,0,61.34,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
5E4B0CFE194D0A769EB9953679753D3B,女,51,北京,公众客户,40,频繁换机型,酷派,2G,ANDROID,1,自有渠道,17.181661,12.158042,22.7,13.9,3.9,10,0,0.8,否,省内流量套餐,10元150MB省内流量套餐
5E8438BA91B86360634317C894F7C2BB,女,43,邢台,公众客户,3,频繁换机型,苹果,3G,IOS,2,社会渠道,542.273456,0,53.8,25.4,23.1,2.3,2.3,2.4,否,本地套餐,4G本地套餐-26元套餐
5EC6A8E6BCA43D4433327625CDB04723,男,22,北京,公众客户,1,频繁换机型,小米,3G,ANDROID 4.1.1,1,自有渠道,0.223203,0.223203,22.38,1.4,0.3,1.1,1.1,20.98,是,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
5EFED1283A43C9DFEF7472B858399124,男,18,沧州,公众客户,14,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,3202.759441,2428.259931,144.35,94.4,91.2,0.8,0.8,13.95,否,本地套餐,4G本地套餐-36元套餐
5F58C0F8E4D1AA77BC3EF172BE334888,女,28,天津,公众客户,122,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,161.512902,0,37.95,8.6,3.6,5,0,1.35,否,省内流量套餐,10元150MB省内流量套餐
5F6B064EE1A37F0F08199765496A4D77,男,43,天津,公众客户,66,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,1097.344197,864.73333,148.2,61.6,60,17,0,1.8,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
AC4739CD9AEEC86713ED75C1ECC7A839,男,34,天津,公众客户,26,频繁换机型,苹果,3G,IOS,1,自有渠道,1372.48343,21.426559,51.81,12.96,5.1,11.1,0,1.08,否,智慧沃家共享,智慧沃家共享套餐-全国流量包79.9元2GB
AC84484097E100F913EA4D6E4E3D6CD8,男,36,北京,公众客户,31,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,3923.294415,57.326479,365.74,85.6,79.2,6.4,6.4,182.4,否,智慧沃家共享,智慧沃家共享套餐-全国流量包99.9元3GB
AC8C21649998024EE3630111244D9251,无法区分,26,北京,公众客户,1,频繁换机型,苹果,4G,IOS,1,自有渠道,212.148164,0,65.05,64,63.9,0.1,0.1,1.05,否,校园专属-非小区A套餐,校园专属-沃派36元A套餐
ACDA6A965F2AF5CD27AD7924D76A25DB,女,64,北京,公众客户,57,频繁换机型,苹果,4G,IOS 9.0,1,自有渠道,2009.844705,248.93192,168.88,0,48.905,8.89,0,2.88,否,基本套餐,166元基本套餐（含国内语音500分钟，国内流量2GB）
AD9F98611DA0552362EF4AFEBDF9B302,男,23,天津,公众客户,9,频繁换机型,小米,4G,ANDROID 4.4.2,1,自有渠道,1161.462622,0,71.3,15,15,0.7,0,30.3,否,本地套餐,4G本地套餐-26元套餐
AE25446CA16D4AFBAFA783FE7E8F3C05,女,28,北京,公众客户,1,频繁换机型,苹果,3G,IOS 6.0,1,自有渠道,20.02507,0,8,6.5,6.3,0.2,0.2,1.5,否,基本套餐,4G全国套餐-106元套餐（新）
AEF98076A3139CE7ECB688CF298633F6,男,43,北京,公众客户,9,频繁换机型,三星,4G,ANDROID 4.4.4,1,自有渠道,910.6111,123.873424,50.45,16.9,16.5,0.4,0.4,23.55,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
AF47441FB6BE515E33AE7B6D94D2685C,女,66,张家口,公众客户,80,频繁换机型,华为,2G,ANDROID 4.2.2,1,自有渠道,0.212344,0,122.8,0.9,0.3,0.6,0.6,111.9,否,4G本地语音套餐,4G本地语音套餐-10元套餐
65A666C0CDC672A7ACD11E822CBCFAB7,女,45,天津,公众客户,124,频繁换机型,索尼,3G,ANDROID,1,自有渠道,159.926203,66.221519,66.3,23.1,20.1,3,0,3.2,是,校园专属-小区基本套餐,校园专属-沃派50元套餐（校园）
662B101B3C0C29B94DC4DA1ECF5220FF,女,33,天津,公众客户,113,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,820.591189,46.805746,47.15,14.1,14.1,3,0,5.9,否,本地套餐,4G本地套餐-26元套餐
AFE0A0B832D277A87D6D830A8C21A3A8,男,51,北京,公众客户,5,频繁换机型,苹果,4G,IOS,1,自有渠道,7340.03489,3120.749875,72.8,60.1,60,0.1,0.1,2.7,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
B018548578AAF77520F464F9AE447F9A,女,26,张家口,公众客户,29,频繁换机型,魅族,4G,ANDROID 5.1.0,2,社会渠道,632.127496,585.799221,50.85,8,4.8,0.3,0,27.6,否,省内流量套餐,10元150MB省内流量套餐
B037A34E26B3AFFC560A71E702DA98B4,男,22,邢台,公众客户,9,频繁换机型,小米,4G,ANDROID 5.0.2,2,社会渠道,918.182014,142.204238,88.6,33.2,29.4,3.8,3.8,38.4,否,校园专属-非小区B套餐,校园专属-沃派26元B套餐
B0419861993F1AE8CAEF34BAF5E55918,女,31,天津,公众客户,39,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,3683.372839,703.54416,430.37,184.48,180,4.48,2.5,239.89,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
B04C9D6EF9FD113472CFBBDD74A1ECC4,男,25,天津,公众客户,1,频繁换机型,小米,4G,ANDROID 4.4.4,2,社会渠道,95.844329,5.143605,49.25,29,28.8,0.2,0.2,20.25,否,基本套餐,4G全国套餐-76元套餐（新）
B0D19074BA9D17396EAE154847AE86DD,男,48,北京,公众客户,1,频繁换机型,华为,4G,ANDROID 5.0,1,自有渠道,7.455398,0,4.15,2.5,2.4,0.1,0.1,1.65,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
B256306B57B219618CADD4CCC4D19B9D,女,27,廊坊,公众客户,1,频繁换机型,苹果,4G,IOS 9.0,1,自有渠道,1516.17504,902.785638,286.75,64.35,60,2.6,2.7,88.05,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
B325B7531396C1AFF494FDE71F5C3038,男,42,天津,公众客户,1,频繁换机型,百立丰,4G,,2,社会渠道,118.180017,0,47.15,36.8,35.4,1.1,0.6,10.35,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
B385C1539271A2CE2E129AEBE115F2AB,男,35,天津,公众客户,1,频繁换机型,魅族,4G,ANDROID 5.1.0,2,社会渠道,1020.874343,0,5.8,1,0.6,0.4,0.4,4.8,否,基本套餐,196元基本套餐（含国内语音500分钟，国内流量3GB）
B485393B751B04ADF313285612939716,女,43,北京,公众客户,59,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,953.530384,29.45772,154.72,3.92,35,3.92,0,14.8,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
B5320701BBC036AC06C00E7FE984765C,女,35,天津,公众客户,84,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,1222.955664,0,168.09,68.1,42,8.1,0,20.85,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
B55DA693225C5896F185E22BC2322AB9,女,27,张家口,公众客户,5,频繁换机型,苹果,3G,IOS,1,自有渠道,3275.11338,0,96.5,7.5,7.2,0.3,0.3,6,否,省内流量套餐,60元1.5GB省内流量套餐
B5D761404A5176DC7E407968635FC1B5,男,38,北京,公众客户,1,偶尔换机型,心迪宝,2G,,2,社会渠道,0.056116,0.056116,110.25,9.1,0.3,8.8,8.8,101.15,否,省内流量套餐,10元150MB省内流量套餐
2A0A088D41342E510C8E0C012EC94E5B,男,58,北京,公众客户,6,频繁换机型,苹果,4G,IOS 6.0,1,自有渠道,2642.505306,569.142525,244.39,119.32,119.7,4.42,0,27.32,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
2A4DAAEBB00EBFF9A43429C7969F2B80,男,27,石家庄,公众客户,8,频繁换机型,苹果,4G,IOS 7.0,1,自有渠道,625.975916,2.627976,95.85,50.8,49.2,0.4,1.6,19.05,否,本地套餐,4G本地套餐-26元套餐
2AB09C2F6E6E8E9D74D44BF56C7EB66E,男,26,北京,公众客户,77,频繁换机型,三星,3G,ANDROID,1,自有渠道,779.30494,11.148255,84.56,0.8,35,0.8,0.8,12.48,否,智慧沃家共享,智慧沃家共享套餐-全国流量包79.9元2GB
2B9FDA496010F8ED53CB34F36582B17C,女,41,北京,公众客户,1,频繁换机型,努比亚,4G,ANDROID 5.1.1,2,社会渠道,158.920343,4.862593,48.4,2.2,1.5,0.7,0.7,30.2,否,校园专属-非小区基本套餐,校园专属-沃派16元套餐(北京)
2C87571BB9B953DACF55E4C6BC4FF6BB,女,43,秦皇岛,公众客户,128,频繁换机型,小米,4G,ANDROID 5.0,2,社会渠道,241.773521,0,76.9,7.2,6.3,0.9,0.9,53.7,否,本地套餐,4G本地套餐-16元套餐
2CB4478977DA286E8874A2B416C71141,男,48,天津,公众客户,102,频繁换机型,索尼,4G,,1,自有渠道,491.427643,0,101.06,26.01,27.6,3,0,10.45,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
2EE902022EF3CE608FAEA635D4F84ABA,男,33,天津,公众客户,61,频繁换机型,三星,4G,ANDROID 4.4.4,1,自有渠道,22.90889,22.204015,60.3,19.4,6.9,5,0,30.9,否,4G本地迁转套餐,4G本地迁转套餐-10元套餐（津）
2F1253551D1E9C84F77E1E27B0FEE3D5,男,30,天津,公众客户,15,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,6038.849373,356.579353,278.2,48.9,50.4,0.1,0,43.95,否,国内流量套餐,150元4GB国内流量套餐
3141F7D9E14F679D918D5A7D12F59302,女,27,天津,公众客户,21,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,1274.898435,51.808312,160.09,19.7,14.7,5,0,29.25,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
32D4DEC6D753038EF01D93A9BFE934D0,男,23,北京,公众客户,11,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,2411.616426,382.078358,274.22,10.82,10,1.82,0,7.4,否,国内流量套餐,90元2GB国内流量套餐
32D6A3DAA6A59F2AD0376DCA4B0C4EF1,男,20,天津,公众客户,20,频繁换机型,乐视,3G,,1,自有渠道,1911.068474,0,124.87,45,7.8,0.2,0,23.3,否,国内流量套餐,10元100MB国内流量套餐
330CAB43C9357CDDB87C33688285A68B,女,25,天津,公众客户,4,频繁换机型,苹果,4G,IOS 9.0,1,自有渠道,2009.670505,4.432735,108.05,1.6,1.5,0.1,0,29.4,否,省内流量套餐,60元1.5GB省内流量套餐
33237A189874F6678FBF7BB63D09D18C,男,24,保定,公众客户,46,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,515.448319,0,135.2,2.7,1.8,0.6,0.9,106.5,否,本地套餐,4G本地套餐-26元套餐
341AE0F71E4EAE96C99C0F0305A1B4A3,男,24,北京,公众客户,2,频繁换机型,维沃,2G,ANDROID,1,自有渠道,17.432768,2.756059,251.8,1.4,0.9,0.5,0.5,210.4,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
358723FFEB9E48EBD3D5D8C742081CC1,女,27,邯郸,公众客户,1,频繁换机型,三星,4G,ANDROID,2,社会渠道,1559.276942,0,179,14.55,10.8,2.1,2.1,0.1,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
358D777D693D1785E9D28744C9BC91C0,女,38,天津,公众客户,1,频繁换机型,三星,3G,ANDROID 4.2.2,1,自有渠道,0.093692,0,10,0.8,0.3,0.5,0.5,9.2,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
