,用户ID,性别,年龄,归属地,客户类型,在网时长,换机频率,终端品牌,终端类型,最近使用操作系统偏好,入网渠道类型,渠道类型描述,上网流量使用,漫游流量使用,总收入,增值收入,流量收入,短信收入,彩信收入,语音收入,是否欠费,产品大类,产品分类
5752,185B6A84434F55503EB6866DBED19977,女,27.0,天津,公众客户,71,频繁换机型,苹果,4G,IOS 7.0,1.0,自有渠道,1791.447448,281.481289,107.75,5.8,3.9,1.9,1.9,4.8,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
5753,1987FFBBCD4B6175318673D679D445D6,男,28.0,北京,公众客户,14,频繁换机型,小米,4G,ANDROID 4.4.4,2.0,社会渠道,317.726294,317.726294,56.5,46.7,43.4,2.4,3.3,1.8,是,国内流量套餐,10元100MB国内流量套餐
5754,1A8FE5DC0A1BD0CEDDACFEC742FB5F64,男,34.0,天津,公众客户,114,频繁换机型,三星,3G,ANDROID 4.2.2,1.0,自有渠道,604.34157,0.0,169.0,6.0,3.0,3.0,0.0,87.0,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
5755,1AB144B7D095726BCCB693F544EFDA94,男,24.0,北京,公众客户,2,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,576.356486,44.68685,84.6,34.2,13.5,8.7,8.7,5.4,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
5757,1BA361F4EB682A25C62C6D8FD341594B,女,39.0,天津,公众客户,97,频繁换机型,首云,4G,ANDROID 5.1,2.0,社会渠道,605.417234,0.0,93.09,8.7,5.7,3.0,0.0,50.7,否,省内流量套餐,10元150MB省内流量套餐
5758,1D5EA4554E298FD4AAF2F4CB9BAAFB5F,男,39.0,天津,公众客户,57,频繁换机型,努比亚,4G,ANDROID 5.0,2.0,社会渠道,1661.58224,124.952797,110.2,8.7,2.7,6.0,0.0,5.4,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
5759,1DFC722EFB1B1652358164F85E2A3150,男,26.0,北京,公众客户,16,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,1927.170416,0.0,158.02,66.2,55.2,3.0,2.7,38.7,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
5760,1E4D58028135B5F7FF17A112B958E591,男,44.0,北京,公众客户,2,频繁换机型,三星,4G,ANDROID 5.1.1,1.0,自有渠道,126.212124,68.892021,84.09,2.28,5.0,2.28,0.0,37.2,是,智慧沃家共享,智慧沃家共享套餐-全国流量包79.9元2GB
5761,2162AAD6A2FCE11B3EE87A0AFB2A2169,男,21.0,石家庄,公众客户,9,频繁换机型,维沃,3G,ANDROID,2.0,社会渠道,1331.333354,19.93568,153.8,119.0,114.9,4.4,4.4,8.8,否,校园专属-非小区B套餐,校园专属-沃派26元B套餐
5762,218FF24FA98EB283FC5EE2AEB7163080,男,25.0,唐山,公众客户,52,频繁换机型,电意,4G,ANDROID 4.4.2,2.0,社会渠道,520.479391,496.555155,32.1,8.9,0.6,0.3,0.3,7.2,否,国内流量套餐,20元300MB国内流量套餐
5763,21E0F13E0FD5B829428906115FC96DC4,男,28.0,天津,公众客户,1,频繁换机型,苹果,4G,IOS,2.0,社会渠道,554.869837,197.68768,60.0,59.7,59.4,0.3,0.3,0.3,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
5764,22E86ECC2A9EF31E01D013B34F50CD43,女,32.0,北京,公众客户,69,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,314.731745,10.625378,163.96,0.52,28.065,0.52,0.0,37.44,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
5765,23E4D66A5B8D527A1A00C631D4A2942F,男,26.0,天津,公众客户,1,频繁换机型,维沃,2G,ANDROID,2.0,社会渠道,136.40678,3.264243,1.85,1.4,1.2,0.2,0.2,0.45,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
5766,246659528F811477FECCAB93BE309BFC,男,53.0,北京,公众客户,63,频繁换机型,欧珀,4G,ANDROID,1.0,自有渠道,1278.138192,1278.138192,371.8,57.2,50.2,7.0,7.0,260.6,否,国内流量套餐,60元1GB国内流量套餐
5767,24FA801220C5A3C945F3473E08F6B34E,女,34.0,天津,公众客户,38,频繁换机型,苹果,3G,IOS,1.0,自有渠道,2387.448249,0.0,302.6,136.0,120.3,10.0,0.0,60.6,是,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
5769,2884CB00D12E0DF9BBC687D8C8B16ECB,女,42.0,北京,公众客户,10,频繁换机型,三星,3G,ANDROID 4.2.2,1.0,自有渠道,9137.898767,258.403409,83.2,29.0,6.6,7.4,7.4,0.2,否,省内流量套餐,60元1.5GB省内流量套餐
5770,289947927CE166AF9BA5171217C790FE,男,33.0,沧州,公众客户,38,频繁换机型,华为,3G,ANDROID 4.2.2,2.0,社会渠道,3.270759,0.0,25.6,2.4,0.9,1.5,1.5,13.2,否,4G本地语音套餐,4G本地语音套餐-10元套餐
5772,2A600A31A97BFE265823D830EF8CA057,女,35.0,北京,公众客户,1,频繁换机型,苹果,3G,IOS,2.0,社会渠道,643.522297,0.0,126.65,44.8,43.2,1.6,1.6,35.85,否,校园专属-非小区基本套餐,校园专属-沃派16元套餐(北京)
5773,2A83226D31CC40D0EB84E46E916CC124,男,26.0,邯郸,公众客户,29,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,3624.825716,0.0,157.57,8.7,8.6,0.1,0.1,3.9,否,国内流量套餐,60元1GB国内流量套餐
5774,E245043419E0F5C730E70AA373C0754A,男,36.0,天津,公众客户,71,频繁换机型,苹果,3G,IOS 7.0,2.0,社会渠道,499.482542,7.201992,100.0,21.6,1.0,20.6,0.3,8.4,否,国内流量套餐,10元100MB国内流量套餐
5775,E28A1E4A440310402E2835E7D490BFFD,男,29.0,衡水,公众客户,60,频繁换机型,小米,4G,ANDROID 4.4.4,2.0,社会渠道,18.705285,1.134105,46.5,1.6,0.6,0.1,1.0,34.9,否,4G本地语音套餐,4G本地语音套餐-10元套餐
5776,E2B1BA8C79E4486BB4336931465FA362,男,20.0,张家口,公众客户,9,频繁换机型,苹果,3G,IOS 7.0,2.0,社会渠道,1117.023988,4.997363,60.1,5.3,3.9,0.8,0.8,28.8,否,校园专属-非小区B套餐,校园专属-沃派36元B套餐
5778,E2D675ECFFD5306D808DC08C701C6A0B,女,30.0,北京,公众客户,1,频繁换机型,华为,4G,ANDROID,1.0,自有渠道,17.086697,17.062291,6.4,5.5,5.4,0.1,0.1,0.9,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
5779,E367B6AEE803B7C5B914A38D091B203F,女,33.0,北京,公众客户,12,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,2068.093751,225.093043,372.4,320.2,311.4,0.8,0.8,7.2,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
5781,E42B92AE0E55E042CAEDF6FD2B833D15,男,18.0,唐山,公众客户,18,频繁换机型,苹果,3G,IOS 6.0,2.0,社会渠道,2571.818646,2571.796536,136.8,15.2,4.4,10.8,0.8,43.6,否,国内流量套餐,90元2GB国内流量套餐
5782,E5BE601D737FC8C56666923BBA763168,女,35.0,北京,公众客户,15,频繁换机型,苹果,4G,IOS 9.0,2.0,社会渠道,2151.264005,908.217811,540.75,288.7,271.5,8.8,13.6,207.05,否,本地套餐,4G本地套餐-40元套餐（京津）
5784,E6CFF66E9945691325D03F9072927458,女,40.0,天津,公众客户,80,频繁换机型,华为,2G,ANDROID,1.0,自有渠道,286.473075,1.357767,54.73,6.6,3.3,3.0,0.3,13.35,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
5786,E7D7691B916E70CAE56913C5C0D347EC,男,19.0,秦皇岛,公众客户,2,频繁换机型,小米,4G,ANDROID 5.0.2,2.0,社会渠道,150.359355,0.0,22.7,1.3,0.3,1.0,1.0,5.4,否,校园专属-非小区B套餐,校园专属-沃派16元B套餐
5787,EAE9E913F66334FB6DB9D498A9B0B8C5,男,31.0,北京,公众客户,23,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,1635.035594,6.466964,100.36,0.76,10.0,0.76,0.0,7.6,否,国内流量套餐,20元300MB国内流量套餐
5788,EB4F8B9A41C449C00B8C7D8E56F8690A,男,35.0,北京,公众客户,1,频繁换机型,华为,4G,ANDROID 6.0,1.0,自有渠道,1033.198871,1033.198871,86.85,63.0,62.7,0.3,0.3,23.85,否,基本套餐,596元基本套餐（含国内语音3000分钟，国内流量11GB）
5790,ED302E8D0AA8E212ECC34DB63A17EC3D,男,32.0,北京,公众客户,87,频繁换机型,小米,4G,ANDROID 4.4.4,1.0,自有渠道,1059.079754,0.667117,53.35,10.3,0.3,10.0,0.0,7.05,否,校园专属-非小区A套餐,校园专属-沃派36元A套餐
5791,EDF46796A3664CBC89A8BC56876EC33B,男,33.0,北京,公众客户,77,频繁换机型,魅族,4G,ANDROID 4.4.2,2.0,社会渠道,698.426383,87.100517,35.2,3.4,0.6,2.8,2.8,16.8,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
5792,EEA6FAA9F9DA2ABCEFEBFDB475772AE4,男,36.0,石家庄,公众客户,45,频繁换机型,苹果,3G,IOS,2.0,社会渠道,182.441995,5.341064,43.15,12.0,11.7,0.3,0.3,15.15,否,本地套餐,4G本地套餐-16元套餐
5793,EF7AF581F03D3C2A3D01AC4748D92BBA,男,32.0,北京,公众客户,1,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,382.158159,141.557486,66.3,56.7,56.6,0.1,0.1,1.6,否,国内流量套餐,10元100MB国内流量套餐
5794,F1E5399100B37E7C75E3F75321152279,男,23.0,张家口,公众客户,45,频繁换机型,欧珀,4G,ANDROID,2.0,社会渠道,472.626301,34.036071,54.65,0.6,10.5,0.1,0.0,28.05,否,本地套餐,4G本地套餐-26元套餐
5797,F2F883C154A58B7100DC9C7730C6CC0A,男,22.0,北京,公众客户,17,频繁换机型,小米,2G,ANDROID 4.4.2,2.0,社会渠道,329.007777,329.007777,21.35,2.8,2.4,0.4,0.4,8.55,是,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
5798,F3CCE603E4175CCC03E40CFFBE72B12E,男,18.0,保定,公众客户,21,频繁换机型,苹果,3G,IOS,1.0,自有渠道,1041.882695,1041.882695,70.95,15.4,11.4,3.0,3.6,17.55,否,国内流量套餐,20元300MB国内流量套餐
5799,F3EAEE1E68541C262E11A9863546F1C6,男,41.0,天津,公众客户,54,频繁换机型,三星,3G,ANDROID 4.2.2,2.0,社会渠道,2141.126094,195.201836,255.91,60.2,60.0,0.2,0.0,98.7,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
5800,F421B72F78C8DF628F6086763FF8AF68,男,30.0,北京,公众客户,1,频繁换机型,苹果,4G,IOS 9.0,2.0,社会渠道,520.64258,95.036076,53.25,36.6,35.1,0.3,0.3,16.65,否,校园专属-非小区A套餐,校园专属-沃派36元A套餐
5801,F4BB20AE450DCE196A291E3435445B59,女,26.0,石家庄,公众客户,36,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,0.003562,0.0,21.0,0.4,0.3,0.1,0.1,0.6,否,4G本地语音套餐,4G本地语音套餐-20元套餐
5803,F59FE6D8C4A7D920B6C92F1AC2D1FF27,女,20.0,天津,公众客户,23,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,1276.989868,147.566232,127.85,44.4,44.4,2.0,0.0,51.45,否,本地套餐,4G本地套餐-40元套餐（京津）
5804,87EF2EB575D139A8885C034CD2EE770F,男,47.0,石家庄,公众客户,11,频繁换机型,维沃,4G,ANDROID,1.0,自有渠道,885.252067,0.0,92.55,45.9,44.7,0.1,1.8,10.65,否,本地套餐,4G本地套餐-36元套餐
5805,88AA32A7E6ACD2C607C1C4A68020E794,女,21.0,石家庄,公众客户,22,频繁换机型,酷派,2G,ANDROID,2.0,社会渠道,0.000145,0.0,45.3,2.9,0.3,2.4,2.6,32.4,否,4G本地语音套餐,4G本地语音套餐-10元套餐
5807,88DEBEF70923A9B1364015B4C4A3716E,男,22.0,邯郸,公众客户,6,频繁换机型,苹果,4G,IOS 7.0,2.0,社会渠道,1341.195241,1331.60085,294.73,121.3,20.4,98.3,100.9,144.45,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
5809,894422966C017E00A7696EFFCFA70DD3,女,26.0,北京,公众客户,87,频繁换机型,三星,4G,ANDROID 4.4.4,1.0,自有渠道,6395.522537,3271.499503,174.1,130.9,66.9,25.0,0.0,13.2,否,省内流量套餐,30元750MB省内流量套餐
5810,89F377EE66A45B4BB203C85149FA6EF1,女,53.0,天津,公众客户,76,频繁换机型,华为,4G,ANDROID 5.0,1.0,自有渠道,466.977641,0.0,36.7,8.0,5.1,8.0,0.0,2.7,否,本地套餐,4G本地套餐-26元套餐
5811,8A2D4DD067BDF1F5CEEF872801D2589E,女,29.0,北京,公众客户,42,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,2025.796221,0.0,303.4,97.9,87.9,10.0,0.0,79.5,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
5812,8A4C6FFCBC8D2B61C842D911960FF803,女,52.0,北京,公众客户,1,频繁换机型,苹果,3G,IOS,1.0,自有渠道,731.793505,0.0,29.7,1.9,0.3,1.6,1.6,17.8,否,省内流量套餐,10元150MB省内流量套餐
5813,8AE52DF5C92295DC7F02FBCE0416B4E0,女,13.0,北京,公众客户,1,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,520.358149,0.0,21.85,3.1,2.7,0.4,0.4,0.75,否,校园专属-非小区A套餐,校园专属-沃派36元A套餐
5814,8B90355A85F730F39E4DA632B4C74F8E,男,27.0,天津,公众客户,29,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,1040.389014,32.104786,60.23,11.4,8.1,3.0,0.0,3.0,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
5815,8D6F2D7A87ACCF174D0744095F3776BE,女,38.0,保定,公众客户,140,频繁换机型,华为,4G,ANDROID 5.0,2.0,社会渠道,456.203108,67.119068,82.9,20.8,20.4,0.4,0.4,36.1,否,本地套餐,4G本地套餐-26元套餐
5816,8DE0EC6F59E15633DB764CF3C8658E77,男,26.0,北京,公众客户,11,频繁换机型,华为,4G,ANDROID 5.0,2.0,社会渠道,160.475557,3.477727,77.9,19.4,1.2,18.4,18.5,22.5,否,校园专属-非小区A套餐,校园专属-沃派36元A套餐
5817,2BF5D7CD726928349544762732095EA1,男,52.0,唐山,公众客户,160,频繁换机型,小米,4G,ANDROID 4.4.4,2.0,社会渠道,196.390086,32.098549,77.9,10.0,9.9,0.1,0.1,51.9,否,本地套餐,4G本地套餐-16元套餐
5818,2CAFF24579FB3902F5966FBFCC9F8A75,男,42.0,天津,公众客户,7,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,957.840044,899.086114,59.21,23.9,23.4,0.2,0.3,15.0,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
5819,2D0B5718657EF5C3395D95C72BC2477A,男,26.0,邢台,公众客户,1,频繁换机型,小米,2G,ANDROID 4.4.4,2.0,社会渠道,33.179775,0.0,32.2,10.6,10.2,0.4,0.4,21.6,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
5820,2F206F69E7080C074EA2763A8F82F710,女,34.0,北京,公众客户,6,频繁换机型,小米,4G,ANDROID 4.4.4,1.0,自有渠道,6.409115,6.409115,128.54,1.06,40.0,1.06,0.8,51.48,否,校园专属-非小区A套餐,校园专属-沃派36元A套餐
5822,F7D751B7837E92A9F7AA9B30BF4DDB66,男,30.0,天津,公众客户,1,频繁换机型,魅族,2G,ANDROID 5.0.1,2.0,社会渠道,2310.243015,252.419049,97.39,61.7,60.0,1.7,1.7,15.75,否,基本套餐,196元基本套餐（含国内语音500分钟，国内流量3GB）
5823,F83FDF1AA2F18413363ACE69361E270C,男,28.0,承德,公众客户,12,频繁换机型,三星,3G,ANDROID,1.0,自有渠道,906.037704,0.0,123.31,43.4,36.6,6.8,6.8,50.55,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
5824,F926B36028D29914E78EF68AF5467350,男,23.0,沧州,公众客户,7,频繁换机型,欧珀,4G,ANDROID,2.0,社会渠道,1092.132863,0.0,225.65,196.6,192.6,1.0,1.0,13.05,否,校园专属-非小区B套餐,校园专属-沃派26元B套餐
5825,F9333B58EA89D427D4F3A986DE4C68C1,男,33.0,天津,公众客户,2,频繁换机型,华为,4G,ANDROID 5.1.1,2.0,社会渠道,398.960349,5.982989,64.6,0.0,1.8,0.4,0.0,24.6,否,本地套餐,4G本地套餐-40元套餐（京津）
5828,FB0A2D2912BB6AEEDB25A959ECE8572A,女,31.0,天津,公众客户,1,频繁换机型,华为,4G,ANDROID 5.0,2.0,社会渠道,787.600096,125.365945,42.6,38.1,37.8,0.3,0.3,4.5,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
5829,FB247197C3767B6C1C56E44A6E2E4B40,男,31.0,天津,公众客户,127,频繁换机型,苹果,4G,IOS 7.0,2.0,社会渠道,1825.634681,0.0,108.96,25.2,24.3,3.0,0.0,10.95,否,智慧沃家共享,智慧沃家共享套餐-全国流量包79.9元2GB
5830,FCE599E77F6FA7C9AD2CB65D75F70595,女,31.0,北京,公众客户,65,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,1025.250263,366.606444,92.92,4.2,5.0,3.8,0.0,29.72,否,国内流量套餐,60元1GB国内流量套餐
5831,FCE78A1AC2BBB06C39FA0408674C74F2,男,25.0,北京,公众客户,4,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,2313.19001,0.0,314.6,146.3,52.5,146.2,146.3,98.3,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
5833,FD8A3E29C3294E9A82F265EEBFF500AF,男,16.0,石家庄,公众客户,10,频繁换机型,乐视,4G,ANDROID,2.0,社会渠道,762.320283,31.4332,84.8,17.1,9.6,7.5,7.5,51.7,否,校园专属-非小区B套餐,校园专属-沃派26元B套餐
5834,FE4D2864BBC6E0BFE9758C0F4427F2B7,女,37.0,天津,公众客户,13,频繁换机型,唯米,2G,ANDROID,1.0,自有渠道,68.12657,4.257796,107.25,19.3,1.2,0.1,0.0,61.95,是,本地套餐,4G本地套餐-26元套餐
5835,FE9006FD56C07E8B132FABF881E1E2E0,男,25.0,天津,公众客户,19,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,472.528149,38.835568,248.05,14.7,11.7,3.0,0.0,193.35,否,本地套餐,4G本地套餐-40元套餐（京津）
5836,FF281F7B8C35AE02C8EAA680AAC5FCF0,女,50.0,石家庄,公众客户,22,频繁换机型,三星,4G,ANDROID 4.3,2.0,社会渠道,2479.492668,0.0,211.9,61.65,60.0,0.1,0.0,47.17,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
5837,FF966E1EDF9B7C23CC0476F121F5716E,男,31.0,廊坊,公众客户,9,频繁换机型,酷派,4G,ANDROID,2.0,社会渠道,910.483356,7.039358,41.1,0.0,3.0,0.8,0.0,15.1,否,本地套餐,4G本地套餐-26元套餐
5838,C6C740A79105729A5FD673A678313736,男,61.0,天津,公众客户,1,频繁换机型,欧珀,2G,ANDROID 4.2.1,1.0,自有渠道,5.755731,5.755731,4.2,2.0,1.8,0.2,0.2,2.2,是,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
5839,C75579BDA38ECA3084355AA0C0A275BA,男,25.0,保定,公众客户,35,频繁换机型,微软,4G,WINDOWS PHONE 8.1,2.0,社会渠道,1207.70293,111.689675,112.17,68.4,68.1,0.2,0.0,1.0,否,本地套餐,4G本地套餐-36元套餐
5840,C77947B26B948B763B12A99DE120EF42,男,25.0,承德,公众客户,1,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,581.57959,0.0,100.15,40.1,39.6,0.5,0.5,34.05,否,本地套餐,4G本地套餐-26元套餐
5841,C7F5A23AD56D18EB47141FEACB616D00,男,21.0,天津,公众客户,12,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,1178.642709,89.174597,160.8,49.5,46.5,3.0,0.0,61.3,否,校园专属-小区基本套餐,校园专属-沃派50元套餐（校园）
5842,C8CE08C8BBB302B6B7AAD393B649B6BC,男,34.0,保定,公众客户,1,频繁换机型,三星,4G,ANDROID 5.1.1,2.0,社会渠道,431.110737,431.110386,60.8,60.2,60.0,0.2,0.2,0.6,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
5843,C91A5D0532D67B12E53EBAA077D9258B,女,23.0,唐山,公众客户,8,频繁换机型,索尼,3G,ANDROID,1.0,自有渠道,822.616583,77.393504,97.1,25.1,23.7,1.4,1.4,36.0,否,本地套餐,4G本地套餐-36元套餐
5844,C9FFCD5E2C56A61A2FBC9539C4BCABBE,男,30.0,天津,公众客户,3,频繁换机型,苹果,3G,IOS,2.0,社会渠道,1247.281136,1039.002834,180.15,0.0,6.0,3.1,0.0,77.06,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
5845,8D15753209FA4ED71988A9715119A647,男,38.0,天津,公众客户,52,频繁换机型,华为,4G,ANDROID,2.0,社会渠道,838.500596,0.0,87.85,50.6,42.6,8.0,0.0,11.25,否,本地套餐,4G本地套餐-26元套餐
5846,8E044C2718C0FD6FA708D194CB218D77,男,23.0,北京,公众客户,25,频繁换机型,三星,3G,ANDROID 4.1.1,2.0,社会渠道,1977.916946,0.0,120.55,44.1,23.0,0.5,1.1,6.45,否,国内流量套餐,30元500MB国内流量套餐
5847,8F5834021B84200959032ECCF1DF5256,男,55.0,保定,公众客户,7,频繁换机型,三星,3G,ANDROID 4.2.2,2.0,社会渠道,2871.433711,0.0,272.15,39.6,36.6,2.0,2.0,26.55,否,本地套餐,4G本地套餐-36元套餐
5849,008F233B7D7B0F32EDA353F5E09A7BF3,男,21.0,北京,公众客户,2,频繁换机型,华为,4G,ANDROID 5.0,1.0,自有渠道,236.598856,4.348378,42.7,2.1,1.5,0.6,0.6,0.6,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
5850,00A24D36E20A31C574B0C784DA9E3A3F,女,38.0,天津,公众客户,30,频繁换机型,华为,4G,ANDROID 4.4.2,2.0,社会渠道,705.494334,0.0,99.6,73.5,73.5,5.0,0.0,0.1,否,本地套餐,4G本地套餐-26元套餐
5851,0119DD71CD751A7DAE2A0C75BE66469B,女,29.0,石家庄,公众客户,28,频繁换机型,三星,3G,ANDROID 4.2.2,2.0,社会渠道,174.542168,13.744849,26.35,5.4,9.3,1.1,0.0,4.95,否,本地套餐,4G本地套餐-16元套餐
5852,01CBD2DB8513BDC4F0ED742A5271CA5F,男,34.0,北京,公众客户,58,频繁换机型,魅族,2G,ANDROID 5.0.1,1.0,自有渠道,697.110179,0.0,57.75,35.3,34.5,0.8,0.8,12.45,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
5853,01EE299D7A4C7A3202FC9A5D9174F158,男,25.0,廊坊,公众客户,7,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,1052.880134,0.0,90.2,20.8,3.6,20.9,20.8,13.4,否,本地套餐,4G本地套餐-36元套餐
5854,028F821D3E7894569A3A3EAE7B085989,男,28.0,北京,公众客户,27,频繁换机型,华为,4G,ANDROID 5.1,2.0,社会渠道,430.057408,53.547861,60.6,25.4,23.8,1.6,1.6,13.2,否,国内流量套餐,20元300MB国内流量套餐
5856,0395DED9D3988263525FA06888D26078,女,26.0,北京,公众客户,40,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,1540.707279,193.755728,222.48,10.04,100.0,1.04,0.0,5.28,是,智慧沃家共享,智慧沃家共享套餐-全国流量包119.9元4GB
5857,637CB99BC1856FC44A4E7FA5A11E9F32,男,23.0,天津,公众客户,31,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,1310.826083,56.077781,78.31,17.75,21.6,0.1,0.0,14.7,否,本地套餐,4G本地套餐-40元套餐（京津）
5858,6425854A3EDE5A685B6811B6C45713A9,男,34.0,北京,公众客户,62,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,2143.065523,2143.065523,235.95,89.5,76.4,11.0,12.5,54.45,否,国内流量套餐,30元500MB国内流量套餐
5861,65AD3E65369469AAB2A6845A09ED758C,男,21.0,北京,公众客户,3,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,1076.483969,0.0,177.95,143.6,142.8,0.8,0.8,13.35,否,校园专属-非小区A套餐,校园专属-沃派26元A套餐
5863,6704F4F7F9A13D1B6414B6203A01F9E0,男,26.0,邢台,公众客户,19,频繁换机型,苹果,3G,IOS,1.0,自有渠道,596.180665,0.0,58.05,12.6,12.3,0.3,0.3,9.45,否,本地套餐,4G本地套餐-26元套餐
5865,68C115A9A9D6642241AA7E54900EC83C,女,28.0,北京,公众客户,1,频繁换机型,华为,4G,ANDROID 5.1.1,2.0,社会渠道,602.231863,63.168339,66.3,60.3,60.0,0.3,0.3,6.0,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
5866,68D0F6BF00F03E5B65FD84C4413884FB,男,42.0,天津,公众客户,32,频繁换机型,奥珀,4G,ANDROID,2.0,社会渠道,1190.023306,0.0,104.45,37.0,12.0,10.0,0.0,39.45,否,省内流量套餐,10元150MB省内流量套餐
5867,68EDC9272CDDFB3BC4E78ECF31350BBA,女,38.0,天津,公众客户,12,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,3228.101316,351.008244,346.19,210.9,195.9,6.0,0.0,7.8,否,本地套餐,4G本地套餐-26元套餐
5868,6B568185165330B3BD53813A58A887AA,女,44.0,天津,公众客户,1,频繁换机型,奥珀,4G,ANDROID,2.0,社会渠道,378.460646,173.581529,54.45,52.8,52.2,0.6,0.6,1.65,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
5869,6C0E5866FFAF26019FF1DE0EEA01793D,男,52.0,北京,公众客户,34,频繁换机型,华为,4G,ANDROID 5.0,1.0,自有渠道,316.905129,19.013569,132.88,4.5,25.0,4.5,3.2,17.28,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
5870,6C317D0C82E505B8ACA406B1582E6A95,男,42.0,天津,公众客户,1,频繁换机型,苹果,3G,IOS,1.0,自有渠道,1.485791,0.417314,9.55,0.7,0.6,0.1,0.1,8.85,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
5871,6C5DD3E9C5EB6D991FAE17617EA596AE,男,24.0,石家庄,公众客户,16,频繁换机型,苹果,3G,IOS,1.0,自有渠道,2490.504773,94.106697,72.73,14.06,9.8,0.26,0.0,17.67,否,本地套餐,4G本地套餐-36元套餐
5872,6CE1B7BB38DF3F707806F4B0D2A7432A,男,22.0,天津,公众客户,22,频繁换机型,苹果,4G,IOS 7.0,2.0,社会渠道,15548.46089,0.0,156.9,24.0,4.8,0.1,0.0,0.6,否,本地套餐,4G本地套餐-40元套餐（京津）
5873,6EAA58C18D66117DB530E2AA52AC6E32,男,33.0,天津,公众客户,32,频繁换机型,三星,4G,ANDROID 6.0,1.0,自有渠道,1450.530148,390.028758,495.36,1.68,3.3,1.68,0.0,36.88,否,基本套餐,166元基本套餐（含国内语音500分钟，国内流量2GB）
5874,6F472B9994378EAC04D8ABA3141CB82E,男,29.0,天津,公众客户,28,频繁换机型,金立,4G,ANDROID,2.0,社会渠道,564.436343,13.788764,37.97,16.2,13.2,3.0,3.0,0.2,是,省内流量套餐,10元150MB省内流量套餐
